,report,transcript_source,file_name,date
113,31628.0,2,20040720-31628-C.xml,2004-07-20
114,32039.0,2,20040728-32039-T.xml,2004-07-28
115,32540.0,2,20040805-32540-C.xml,2004-08-05
116,33000.0,2,20040804-33000-C.xml,2004-08-04
117,33598.0,2,20040817-33598-T.xml,2004-08-17
118,33696.0,2,20040810-33696-T.xml,2004-08-10
119,33875.0,2,20040816-33875-T.xml,2004-08-16
120,34383.0,2,20040824-34383-C.xml,2004-08-24
121,34617.0,2,20040908-34617-T.xml,2004-09-08
122,34687.0,2,20040914-34687-T.xml,2004-09-14
123,34751.0,2,20040908-34751-T.xml,2004-09-08
124,34794.0,2,20040915-34794-T.xml,2004-09-15
125,34795.0,2,20040908-34795-T.xml,2004-09-08
126,34811.0,2,20040908-34811-T.xml,2004-09-08
127,34857.0,2,20040909-34857-T.xml,2004-09-09
128,34878.0,2,20040909-34878-T.xml,2004-09-09
129,34905.0,2,20040908-34905-T.xml,2004-09-08
130,35040.0,2,20040914-35040-T.xml,2004-09-14
131,35148.0,2,20040909-35148-T.xml,2004-09-09
132,35193.0,2,20040908-35193-T.xml,2004-09-08
133,35324.0,2,20040913-35324-T.xml,2004-09-13
134,35358.0,2,20040914-35358-T.xml,2004-09-14
135,35382.0,2,20040909-35382-T.xml,2004-09-09
136,35419.0,2,20040913-35419-T.xml,2004-09-13
137,35574.0,2,20040914-35574-T.xml,2004-09-14
138,35646.0,2,20040922-35646-T.xml,2004-09-22
139,35656.0,2,20040923-35656-T.xml,2004-09-23
140,35697.0,2,20040909-35697-T.xml,2004-09-09
141,35719.0,2,20040922-35719-T.xml,2004-09-22
142,35746.0,2,20040914-35746-T.xml,2004-09-14
143,35769.0,2,20040914-35769-T.xml,2004-09-14
144,35777.0,2,20040910-35777-T.xml,2004-09-10
145,35809.0,2,20041007-35809-C.xml,2004-10-07
146,35868.0,2,20040913-35868-T.xml,2004-09-13
147,36012.0,2,20040915-36012-T.xml,2004-09-15
148,36193.0,2,20040922-36193-T.xml,2004-09-22
149,36223.0,2,20040928-36223-T.xml,2004-09-28
150,36332.0,2,20040922-36332-T.xml,2004-09-22
151,36428.0,2,20040920-36428-T.xml,2004-09-20
152,36432.0,2,20040920-36432-T.xml,2004-09-20
153,36445.0,2,20040920-36445-T.xml,2004-09-20
154,36500.0,2,20040922-36500-T.xml,2004-09-22
155,36516.0,2,20040923-36516-T.xml,2004-09-23
156,36536.0,2,20040927-36536-T.xml,2004-09-27
157,36567.0,2,20041021-36567-T.xml,2004-10-21
158,36768.0,2,20040928-36768-T.xml,2004-09-28
159,36815.0,2,20040928-36815-T.xml,2004-09-28
160,36922.0,2,20040928-36922-C.xml,2004-09-28
161,37065.0,2,20041008-37065-C.xml,2004-10-08
162,37078.0,2,20041006-37078-T.xml,2004-10-06
163,37088.0,2,20041021-37088-C.xml,2004-10-21
164,37098.0,2,20041005-37098-T.xml,2004-10-05
165,37130.0,2,20041021-37130-C.xml,2004-10-21
166,37144.0,2,20040928-37144-T.xml,2004-09-28
167,37243.0,2,20040928-37243-T.xml,2004-09-28
168,37471.0,2,20041019-37471-T.xml,2004-10-19
169,37649.0,2,20041006-37649-T.xml,2004-10-06
170,37770.0,2,20041021-37770-T.xml,2004-10-21
171,37774.0,2,20041005-37774-T.xml,2004-10-05
172,37873.0,2,20041103-37873-C.xml,2004-11-03
173,37940.0,2,20041006-37940-C.xml,2004-10-06
174,37999.0,2,20041028-37999-C.xml,2004-10-28
175,38229.0,2,20041021-38229-C.xml,2004-10-21
176,38230.0,2,20041021-38230-C.xml,2004-10-21
177,38491.0,2,20041029-38491-C.xml,2004-10-29
178,38533.0,2,20041018-38533-C.xml,2004-10-18
179,38725.0,2,20041020-38725-C.xml,2004-10-20
180,38877.0,2,20041021-38877-T.xml,2004-10-21
181,39631.0,2,20041028-39631-T.xml,2004-10-28
182,39760.0,2,20041021-39760-T.xml,2004-10-21
183,39893.0,2,20041027-39893-C.xml,2004-10-27
184,40795.0,2,20041104-40795-T.xml,2004-11-04
185,41257.0,2,20041117-41257-T.xml,2004-11-17
186,41302.0,2,20041103-41302-T.xml,2004-11-03
187,41348.0,2,20041110-41348-T.xml,2004-11-10
188,41745.0,2,20041109-41745-C.xml,2004-11-09
189,42240.0,2,20041109-42240-T.xml,2004-11-09
190,42378.0,2,20041110-42378-T.xml,2004-11-10
191,42387.0,2,20041115-42387-T.xml,2004-11-15
192,42606.0,2,20041130-42606-T.xml,2004-11-30
193,42695.0,2,20041110-42695-C.xml,2004-11-10
194,42826.0,2,20041110-42826-C.xml,2004-11-10
195,42924.0,2,20041115-42924-T.xml,2004-11-15
196,42927.0,2,20041111-42927-T.xml,2004-11-11
197,43485.0,2,20041119-43485-T.xml,2004-11-19
198,43538.0,2,20041130-43538-T.xml,2004-11-30
199,43659.0,2,20041201-43659-C.xml,2004-12-01
200,43826.0,2,20041123-43826-C.xml,2004-11-23
201,44034.0,2,20041130-44034-T.xml,2004-11-30
202,44146.0,2,20041207-44146-T.xml,2004-12-07
203,44434.0,2,20041208-44434-T.xml,2004-12-08
204,44436.0,2,20041209-44436-T.xml,2004-12-09
