,report,date,transcript_source
223,64995423.0,2018-05-15,0
224,65573084.0,2018-08-13,0
225,66259043.0,2018-11-27,0
227,66792160.0,2019-02-20,0
228,66895449.0,2019-03-07,0
229,67458630.0,2019-06-06,0
230,67941025.0,2019-09-10,0
231,68968714.0,2020-02-26,0
232,69527151.0,2020-05-15,0
233,69600571.0,2020-05-27,0
234,69731342.0,2020-06-09,0
235,69753101.0,2020-06-11,0
236,70162149.0,2020-08-06,0
238,70481240.0,2020-09-30,0
239,71577929.0,2021-03-02,0
241,72084544.0,2021-05-10,0
242,72085708.0,2021-05-10,0
243,72106136.0,2021-05-12,0
244,72285100.0,2021-06-10,0
246,72369029.0,2021-06-24,0
248,15419460.0,2022-12-08,1
249,8721964.0,2003-01-30,0
250,8726601.0,2003-04-22,0
251,8726644.0,2003-04-22,0
252,8908989.0,2003-10-21,0
253,10683775.0,2005-10-20,0
254,12754314.0,2007-10-25,0
256,12763283.0,2007-10-25,0
258,13053929.0,2008-01-24,0
260,13054531.0,2008-01-24,0
261,13054774.0,2008-01-24,0
263,13407398.0,2008-04-24,0
264,13726866.0,2008-07-24,0
266,14376607.0,2009-01-29,0
268,14378491.0,2009-01-29,0
270,14756514.0,2009-04-23,0
271,15092218.0,2009-07-23,0
275,15093981.0,2009-07-23,0
276,15426159.0,2009-10-22,0
277,2517369.0,2009-11-10,1
281,15766213.0,2010-01-28,0
288,15767050.0,2010-01-28,0
294,16061168.0,2010-04-22,0
296,16066475.0,2010-04-22,0
299,16406979.0,2010-07-22,0
302,16407426.0,2010-07-22,0
304,16774885.0,2010-10-21,0
305,16775247.0,2010-10-21,0
306,17166194.0,2011-01-25,0
312,17166970.0,2011-01-27,0
317,17209722.0,2011-02-03,0
322,17498460.0,2011-04-26,0
323,17498461.0,2011-04-26,0
324,17633463.0,2011-05-20,0
329,17897835.0,2011-07-21,0
330,17897592.0,2011-07-27,0
331,18130207.0,2011-09-14,0
336,18276940.0,2011-10-20,0
339,18277298.0,2011-10-20,0
343,18432031.0,2011-11-18,0
349,4701376.0,2012-01-26,1
350,18700693.0,2012-01-30,0
352,18700694.0,2012-01-30,0
355,18739950.0,2012-02-03,0
358,18918978.0,2012-03-13,0
361,4777694.0,2012-04-19,1
362,20246579.0,2012-05-17,0
364,20075096.0,2012-07-03,0
368,20075445.0,2012-07-03,0
372,20556252.0,2012-07-26,0
374,20555356.0,2012-07-27,0
375,20559325.0,2012-07-27,0
376,20724500.0,2012-07-27,0
377,20743152.0,2012-09-05,0
379,20958636.0,2012-10-25,0
383,20959183.0,2012-10-25,0
386,21354933.0,2013-01-24,0
387,21354934.0,2013-01-24,0
389,21549543.0,2013-03-04,0
393,21800653.0,2013-04-25,0
394,21801648.0,2013-04-25,0
396,21911313.0,2013-05-15,0
401,22029645.0,2013-06-11,0
